id,industry,country,city
10726,Other or Unknown,United States,Chicago
10727,Other or Unknown,United States,Collierville
10728,Other or Unknown,United States,Columbia
10729,Other or Unknown,United States,Dallas
10730,Other or Unknown,United States,Darien
10731,Other or Unknown,United States,Denver
10732,Other or Unknown,United States,Doral
10733,Other or Unknown,United States,Edina
10734,Other or Unknown,United States,Escondido
10735,Other or Unknown,United States,Eugene
10736,Other or Unknown,United States,Fairfax
10737,Other or Unknown,United States,Fairfield
10738,Other or Unknown,United States,Falls Church
10739,Other or Unknown,United States,Fayetteville
10740,Other or Unknown,United States,Fort Knox
10741,Other or Unknown,United States,Fort Lauderdale
10742,Other or Unknown,United States,Fort Worth
10743,Other or Unknown,United States,Franklin Park
10744,Other or Unknown,United States,Fredericksburg
10745,Other or Unknown,United States,Frisco
10746,Other or Unknown,United States,Front Royal
10747,Other or Unknown,United States,Greenbelt 
10748,Other or Unknown,United States,Hartford
10749,Other or Unknown,United States,Hayward
10750,Other or Unknown,United States,Herndon
10751,Other or Unknown,United States,Highland
10752,Other or Unknown,United States,Hoboken
10753,Other or Unknown,United States,Homer Glen
10754,Other or Unknown,United States,Huntsville
10755,Other or Unknown,United States,Huntsville
10756,Other or Unknown,United States,Indianapolis
10757,Other or Unknown,United States,Irvine
10758,Other or Unknown,United States,Irvine
10759,Other or Unknown,United States,Ithaca
10760,Other or Unknown,United States,Jersey City
10761,Other or Unknown,United States,Kansas City
10762,Other or Unknown,United States,Las Cruces
10763,Other or Unknown,United States,Ledyard
10764,Other or Unknown,United States,Lexington
10765,Other or Unknown,United States,Lithia
10766,Other or Unknown,United States,Lorton
10767,Other or Unknown,United States,Los Angeles
10768,Other or Unknown,United States,Mansfield
10769,Other or Unknown,United States,Mckinney
10770,Other or Unknown,United States,Mckinney
10771,Other or Unknown,United States,Memphis
10772,Other or Unknown,United States,Metuchen
10773,Other or Unknown,United States,Miami
10774,Other or Unknown,United States,Miami Beach
10775,Other or Unknown,United States,Morgantown
10776,Other or Unknown,United States,Nashville
10777,Other or Unknown,United States,New Britain
10778,Other or Unknown,United States,New York
10779,Other or Unknown,United States,New York
10780,Other or Unknown,United States,New York
10781,Other or Unknown,United States,New York
10782,Other or Unknown,United States,New York
10783,Other or Unknown,United States,Newark
10784,Other or Unknown,United States,North Caldwell
10785,Other or Unknown,United States,North Kansas City
10786,Other or Unknown,United States,North Potomac
10787,Other or Unknown,United States,North Providence
10788,Other or Unknown,United States,Okemos
10789,Other or Unknown,United States,Park City
10790,Other or Unknown,United States,Pembroke Pines
10791,Other or Unknown,United States,Phoenix
10792,Other or Unknown,United States,Pine Plains
10793,Other or Unknown,United States,Pittsford
10794,Other or Unknown,United States,Port St Lucie
10795,Other or Unknown,United States,Portland
10796,Other or Unknown,United States,Rancho Murieta 
10797,Other or Unknown,United States,Redwood City
10798,Other or Unknown,United States,Reston
10799,Other or Unknown,United States,Rochester Hills
10800,Other or Unknown,United States,Rumford
10801,Other or Unknown,United States,Rye
10802,Other or Unknown,United States,Sacramento
10803,Other or Unknown,United States,Salt Lake City
10804,Other or Unknown,United States,Sammamish
10805,Other or Unknown,United States,San Diego
10806,Other or Unknown,United States,San Francisco
10807,Other or Unknown,United States,San Francisco
10808,Other or Unknown,United States,San Francisco
10809,Other or Unknown,United States,San Jose
10810,Other or Unknown,United States,San Jose 
10811,Other or Unknown,United States,San Mateo
10812,Other or Unknown,United States,Scottsdale
10813,Other or Unknown,United States,Somerville
10814,Other or Unknown,United States,St. Louis
10815,Other or Unknown,United States,Stirling
10816,Other or Unknown,United States,Sunnyvale
10817,Other or Unknown,United States,Sunnyvale
10818,Other or Unknown,United States,Sunnyvale
10819,Other or Unknown,United States,Swissvale
10820,Other or Unknown,United States,Tampa
10821,Other or Unknown,United States,Taylors
10822,Other or Unknown,United States,Tinley Park
10823,Other or Unknown,United States,Vienna
10824,Other or Unknown,United States,Vienna
10825,Other or Unknown,United States,Washington
10826,Other or Unknown,United States,Washington
10827,Other or Unknown,United States,Washington
10828,Other or Unknown,United States,Wauwatosa
10829,Other or Unknown,United States,Waxhaw
10830,Other or Unknown,United States,Wellington
10831,Other or Unknown,United States,West Jordan
10832,Other or Unknown,United States,West Linn
10833,Other or Unknown,United States,Westerly
10834,Other or Unknown,United States,Whitehouse Station
10835,Other or Unknown,United States,Wichita
10836,Other or Unknown,United States,Woodside
10837,Other or Unknown,United States,Worcester
10838,Public Sector,Brazil,Brasilia
10839,Public Sector,Canada,North York
10840,Public Sector,Canada,Toronto
10841,Public Sector,Guatemala,Guatemala 
10842,Public Sector,Hong Kong,Hong Kong
10843,Public Sector,Hong Kong,Hong Kong
10844,Public Sector,India,New Delhi
10845,Public Sector,Italy,Vicenza
10846,Public Sector,Mexico,Mexico City
10847,Public Sector,Netherlands,The Hague
10848,Public Sector,Singapore,Singapore
10849,Public Sector,Singapore,Singapore 
10850,Public Sector,United Arab Emirates,Abu Dhabi
10851,Public Sector,United Kingdom,London
10852,Public Sector,United States,Bowie
10853,Public Sector,United States,Evans
10854,Public Sector,United States,Gaithersburg
10855,Public Sector,United States,Highland Falls
10856,Public Sector,United States,Marietta
10857,Public Sector,United States,Ocala
10858,Public Sector,United States,Sacramento
10859,Public Sector,United States,San Francisco
10860,Public Sector,United States,Silver Spring
10861,Public Sector,United States,Sringfield
10862,Public Sector,United States,Washington
10863,Public Sector,United States,Washington
10864,Real Estate,Brazil,São Paulo
10865,Real Estate,Brazil,São Paulo
10866,Real Estate,France,Fontenay Aux Roses
10867,Real Estate,United Kingdom,London
10868,Real Estate,United Kingdom,London
10869,Real Estate,United States,Houston
10870,Real Estate,United States,Providence
10871,Retail,Hong Kong,Hong Kong
10872,Retail,Hong Kong,North Point
10873,Retail,Hong Kong,Shatin
10874,Retail,Hong Kong,Tai Hang
10875,Retail,Italy,Busto Arsizio
10876,Retail,Mexico,Ciudad De México
10877,Retail,Netherlands,Diemen
10878,Retail,Singapore,Singapore
10879,Retail,United Arab Emirates,Dubai
10880,Retail,United States,Ayer
10881,Retail,United States,Fremont
10882,Retail,United States,Grand Rapids
10883,Retail,United States,Irvine
10884,Retail,United States,Portland
