Occupation,Industry,All_workers,All_weekly,M_workers,M_weekly,F_workers,F_weekly
"Plating and coating machine setters, operators, and tenders, metal and plastic",Production,24,NA,24,NA,0,NA
"Tool grinders, filers, and sharpeners",Production,7,NA,7,NA,0,NA
"Metal workers and plastic workers, all other",Production,351,639,278,678,72,581
Prepress technicians and workers,Production,14,NA,12,NA,2,NA
Printing press operators,Production,160,707,134,729,26,NA
Print binding and finishing workers,Production,16,NA,9,NA,6,NA
Laundry and dry-cleaning workers,Production,133,466,53,487,80,460
"Pressers, textile, garment, and related materials",Production,21,NA,9,NA,12,NA
Sewing machine operators,Production,147,493,42,NA,105,476
Shoe and leather workers and repairers,Production,5,NA,4,NA,1,NA
Shoe machine operators and tenders,Production,1,NA,0,NA,1,NA
"Tailors, dressmakers, and sewers",Production,37,NA,9,NA,27,NA
Textile bleaching and dyeing machine operators and tenders,Production,2,NA,2,NA,0,NA
"Textile cutting machine setters, operators, and tenders",Production,9,NA,7,NA,2,NA
"Textile knitting and weaving machine setters, operators, and tenders",Production,8,NA,3,NA,4,NA
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",Production,7,NA,5,NA,2,NA
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",Production,0,NA,0,NA,0,NA
Fabric and apparel patternmakers,Production,4,NA,3,NA,1,NA
Upholsterers,Production,29,NA,21,NA,7,NA
"Textile, apparel, and furnishings workers, all other",Production,16,NA,12,NA,4,NA
Cabinetmakers and bench carpenters,Production,40,NA,38,NA,2,NA
Furniture finishers,Production,6,NA,6,NA,0,NA
"Model makers and patternmakers, wood",Production,0,NA,0,NA,0,NA
"Sawing machine setters, operators, and tenders, wood",Production,26,NA,22,NA,4,NA
"Woodworking machine setters, operators, and tenders, except sawing",Production,23,NA,21,NA,1,NA
"Woodworkers, all other",Production,17,NA,14,NA,3,NA
"Power plant operators, distributors, and dispatchers",Production,35,NA,34,NA,1,NA
Stationary engineers and boiler operators,Production,84,996,81,1012,3,NA
Water and wastewater treatment plant and system operators,Production,82,880,79,868,3,NA
Miscellaneous plant and system operators,Production,35,NA,33,NA,3,NA
"Chemical processing machine setters, operators, and tenders",Production,62,1052,57,1082,5,NA
"Crushing, grinding, polishing, mixing, and blending workers",Production,82,652,75,668,7,NA
Cutting workers,Production,51,685,41,NA,9,NA
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",Production,31,NA,25,NA,6,NA
"Furnace, kiln, oven, drier, and kettle operators and tenders",Production,6,NA,5,NA,0,NA
"Inspectors, testers, sorters, samplers, and weighers",Production,701,710,440,844,260,583
Jewelers and precious stone and metal workers,Production,19,NA,11,NA,7,NA
"Medical, dental, and ophthalmic laboratory technicians",Production,86,648,44,NA,42,NA
Packaging and filling machine operators and tenders,Production,239,518,118,605,120,482
Painting workers,Production,129,708,110,733,18,NA
Photographic process workers and processing machine operators,Production,26,NA,12,NA,14,NA
Semiconductor processors,Production,1,NA,1,NA,0,NA
Adhesive bonding machine operators and tenders,Production,9,NA,5,NA,4,NA
"Cleaning, washing, and metal pickling equipment operators and tenders",Production,4,NA,2,NA,1,NA
Cooling and freezing equipment operators and tenders,Production,4,NA,3,NA,0,NA
Etchers and engravers,Production,12,NA,8,NA,4,NA
"Molders, shapers, and casters, except metal and plastic",Production,14,NA,12,NA,2,NA
"Paper goods machine setters, operators, and tenders",Production,27,NA,22,NA,5,NA
Tire builders,Production,8,NA,8,NA,0,NA
Helpers--production workers,Production,24,NA,18,NA,7,NA
"Production workers, all other",Production,846,625,643,666,203,501
Supervisors of transportation and material moving workers,Transportation,186,894,153,898,33,NA
Aircraft pilots and flight engineers,Transportation,114,1735,104,1830,9,NA
Air traffic controllers and airfield operations specialists,Transportation,32,NA,24,NA,8,NA
Flight attendants,Transportation,63,846,20,NA,43,NA
"Ambulance drivers and attendants, except emergency medical technicians",Transportation,18,NA,14,NA,4,NA
Bus drivers,Transportation,323,615,184,681,138,572
Driver/sales workers and truck drivers,Transportation,2687,747,2582,751,105,632
Taxi drivers and chauffeurs,Transportation,253,585,216,600,38,NA
"Motor vehicle operators, all other",Transportation,21,NA,18,NA,3,NA
Locomotive engineers and operators,Transportation,44,NA,42,NA,2,NA
"Railroad brake, signal, and switch operators",Transportation,5,NA,5,NA,0,NA
Railroad conductors and yardmasters,Transportation,55,1117,52,1137,4,NA
"Subway, streetcar, and other rail transportation workers",Transportation,15,NA,12,NA,3,NA
Sailors and marine oilers,Transportation,10,NA,9,NA,0,NA
Ship and boat captains and operators,Transportation,29,NA,28,NA,1,NA
Ship engineers,Transportation,5,NA,4,NA,1,NA
Bridge and lock tenders,Transportation,4,NA,4,NA,0,NA
Parking lot attendants,Transportation,57,492,49,NA,8,NA
Automotive and watercraft service attendants,Transportation,63,452,58,470,5,NA
Transportation inspectors,Transportation,21,NA,14,NA,7,NA
"Transportation attendants, except flight attendants",Transportation,17,NA,9,NA,8,NA
Other transportation workers,Transportation,39,NA,35,NA,4,NA
Conveyor operators and tenders,Transportation,7,NA,7,NA,0,NA
Crane and tower operators,Transportation,75,988,71,1016,4,NA
"Dredge, excavating, and loading machine operators",Transportation,25,NA,25,NA,0,NA
Hoist and winch operators,Transportation,5,NA,5,NA,0,NA
Industrial truck and tractor operators,Transportation,579,609,541,612,37,NA
Cleaners of vehicles and equipment,Transportation,222,485,200,498,22,NA
"Laborers and freight, stock, and material movers, hand",Transportation,1433,526,1214,547,219,455
Machine feeders and offbearers,Transportation,30,NA,21,NA,9,NA
"Packers and packagers, hand",Transportation,385,438,158,462,227,424
Pumping station operators,Transportation,18,NA,17,NA,1,NA
Refuse and recyclable material collectors,Transportation,72,501,66,496,6,NA
Mine shuttle car operators,Transportation,0,NA,0,NA,0,NA
"Tank car, truck, and ship loaders",Transportation,6,NA,6,NA,0,NA
"Material moving workers, all other",Transportation,37,NA,32,NA,5,NA
